scenario,seed,rho_break,rho_reached,gamma_break,gamma_reached,rho_bench,gamma_bench,rho_robust,gamma_robust
both_robust,0,1.0,False,4.340208861912467,True,0.019241943541462626,1.2527112522772303,True,True
both_robust,1,1.0,False,4.2498658753614285,True,0.019241943541462626,1.2527112522772303,True,True
both_robust,2,1.0,False,4.23080277361906,True,0.019241943541462626,1.2527112522772303,True,True
both_robust,3,1.0,False,4.096415411822038,True,0.019241943541462626,1.2527112522772303,True,True
both_robust,4,1.0,False,4.224456431027954,True,0.019241943541462626,1.2527112522772303,True,True
both_robust,5,1.0,False,4.394616631223933,True,0.019241943541462626,1.2527112522772303,True,True
rho_robust_gamma_not,0,1.0,False,2.486927659028528,True,0.08332286681324104,4.209150213723509,True,False
rho_robust_gamma_not,1,1.0,False,2.5550490183152714,True,0.08332286681324104,4.209150213723509,True,False
rho_robust_gamma_not,2,1.0,False,2.6041385461189117,True,0.08332286681324104,4.209150213723509,True,False
rho_robust_gamma_not,3,1.0,False,2.561387634167922,True,0.08332286681324104,4.209150213723509,True,False
rho_robust_gamma_not,4,1.0,False,2.4506780997637114,True,0.08332286681324104,4.209150213723509,True,False
rho_robust_gamma_not,5,1.0,False,2.4791190990005605,True,0.08332286681324104,4.209150213723509,True,False
gamma_robust_rho_not,0,0.06794837632303685,True,1.7220903856369194,True,0.11541880616657568,1.6938464954241859,False,True
gamma_robust_rho_not,1,0.0817574089810813,True,1.8432851512215276,True,0.11541880616657568,1.6938464954241859,False,True
gamma_robust_rho_not,2,0.08742968943287802,True,1.8383848981620887,True,0.11541880616657568,1.6938464954241859,False,True
gamma_robust_rho_not,3,0.08244528616708298,True,1.6856303315895562,True,0.11541880616657568,1.6938464954241859,False,False
gamma_robust_rho_not,4,0.0764216521676076,True,1.8116674624719304,True,0.11541880616657568,1.6938464954241859,False,True
gamma_robust_rho_not,5,0.09795127878910181,True,1.8254277532346874,True,0.11541880616657568,1.6938464954241859,False,True
both_not_robust,0,0.0817226239827072,True,1.4168911402930298,True,0.20206890110494277,2.094403287502015,False,False
both_not_robust,1,0.1001534967649523,True,1.50519138751189,True,0.20206890110494277,2.094403287502015,False,False
both_not_robust,2,0.09263335557214261,True,1.520164662715964,True,0.20206890110494277,2.094403287502015,False,False
both_not_robust,3,0.11046049014609266,True,1.4209980962537965,True,0.20206890110494277,2.094403287502015,False,False
both_not_robust,4,0.0645305527237526,True,1.5101020098611757,True,0.20206890110494277,2.094403287502015,False,False
both_not_robust,5,0.21852497908419719,True,1.4855319877723223,True,0.20206890110494277,2.094403287502015,True,False
